timestamp,light
1552572541.0133753,758
1552572541.5780401,758
1552572542.1321013,757
1552572542.6846032,760
1552572543.2369504,759
1552572543.7894902,759
1552572544.3418994,759
1552572544.8943574,760
1552572545.4465535,760
1552572545.9987314,760
1552572546.5579224,760
1552572547.1110594,761
1552572547.6657615,759
1552572548.2183454,760
1552572548.7677555,757
1552572549.3207824,760
1552572549.8734276,760
1552572550.4277446,758
1552572550.9799845,761
1552572551.5324526,759
1552572552.0904186,759
1552572552.6426826,759
1552572553.1951516,758
1552572553.7474096,758
1552572554.2995458,760
1552572554.8522217,761
1552572555.4052846,759
1552572555.9594147,761
1552572556.513157,757
1552572557.0666127,760
1552572557.6195557,757
1552572558.1723797,759
1552572558.726662,760
1552572559.2821548,758
1552572559.8349988,760
1552572560.38757,759
1552572560.9402409,758
1552572561.496299,758
1552572562.048316,760
1552572562.607728,760
1552572563.1600099,758
1552572563.7124689,759
1552572564.265203,760
1552572564.817748,759
1552572565.371603,759
1552572565.924267,758
1552572566.477101,759
1552572567.029973,759
1552572567.582483,760
1552572568.140176,758
1552572568.692733,761
1552572569.2456112,759
1552572569.7984831,758
1552572570.351519,759
1552572570.9042141,757
1552572571.4566042,759
1552572572.0087564,757
1552572572.5611703,757
1552572573.1139064,758
1552572573.6665304,759
1552572574.2189393,758
1552572574.7717934,757
